,months_since_lead_gen,lead_gen_channel,Gender,Age,City,airline_loyalty_tier,no_of_family_members,is_6M_enquiry,is_3M_active,Status,Converted_y_N,Prediction Probability
318,4.0,2.0,1.0,2.481426676229533,4.0,4.0,1.0,0.0,1.0,1.0,0,0.3537854905455214
2432,3.0,1.0,1.0,2.3587758197041415,3.0,0.0,1.0,0.0,0.0,3.0,0,0.13361983143525843
2817,5.0,2.0,1.0,2.554431860990937,4.0,2.0,1.0,1.0,0.0,2.0,0,0.31126889359611687
412,4.0,1.0,0.0,2.5637191659191334,0.0,2.0,1.0,0.0,1.0,1.0,1,0.7620703038437121
6279,5.0,1.0,1.0,2.288176324422878,9.0,2.0,2.0,1.0,1.0,0.0,0,0.017144294648017654
8534,4.0,0.0,0.7649818959794298,2.5959780421362466,1.76498189597943,0.0,3.23501810402057,0.0,1.0,1.0,1,1.0
956,3.0,1.0,1.0,2.4183424053220275,8.0,2.0,1.0,0.0,1.0,1.0,0,0.08482882775413245
8325,5.0,0.30523013138022315,0.0,2.600026102013562,6.694769868619777,1.0,1.0,1.0,1.0,0.0,1,0.957825507488616
10321,3.6672460668463627,1.0,0.6672460668463629,2.5394867204590406,0.0,0.0,3.0,0.0,1.0,1.0,1,0.983194231928409
3155,3.0,0.0,0.0,2.4574871831877636,4.0,2.0,1.0,0.0,1.0,1.0,1,0.5332776135177898
10499,3.0,0.0,0.9176382817793661,2.5978467893313937,1.0823617182206338,4.0,2.0,0.08236171822063387,1.0,0.9176382817793661,1,0.8951475633146185
5334,2.0,2.0,1.0,2.554431860990937,2.0,2.0,2.0,1.0,0.0,2.0,0,0.10808583999593914
5591,4.0,0.0,0.0,2.572762252517431,7.0,4.0,2.0,1.0,1.0,0.0,1,0.436967719607341
351,4.0,1.0,1.0,2.4318593876580854,9.0,4.0,2.0,1.0,1.0,0.0,0,0.11061811782457734
2969,5.0,2.0,1.0,2.715689097851082,0.0,1.0,1.0,1.0,0.0,2.0,0,0.12234366048489961
9350,3.0,0.9271865707894698,0.9271865707894698,2.484597762847857,1.0,0.0,1.0,0.0,0.0,3.0,1,0.9559229272836869
2766,5.0,0.0,1.0,2.492824463854442,9.0,1.0,1.0,0.0,0.0,3.0,0,0.3955032076865283
7076,5.028673107377893,0.0,0.0,2.517222916399439,5.028673107377893,2.0,1.0,1.0,0.0,2.0,1,0.8353426528936482
5932,4.0,1.0,0.0,2.5985366483993895,0.0,2.0,1.0,1.0,1.0,0.0,0,0.5392700830769079
4314,3.0,2.0,1.0,2.307063035651694,4.0,2.0,2.0,1.0,0.0,2.0,0,0.014382865727802435
6733,3.0,1.0,0.0,2.2683401851981295,6.0,2.0,1.0,0.0,1.0,1.0,0,0.0719678729412436
2980,3.0,2.0,1.0,2.4318593876580854,2.0,2.0,2.0,1.0,0.0,2.0,0,0.005199201568288844
8396,3.7298985964008358,1.0,0.0,2.4879411735121915,10.0,2.2701014035991642,3.0,0.0,1.0,1.0,1,0.9719875767997673
4427,5.0,2.0,1.0,2.5448880909648666,5.0,2.0,1.0,0.0,0.0,3.0,1,0.6585044302563505
7535,3.8246999402078248,0.0,0.0,2.557645179721545,9.0,2.0,1.0,0.0,1.0,1.0,1,0.9757638166862898
7397,3.426873617666149,0.42687361766614895,1.0,2.471207538229699,0.0,0.0,2.426873617666149,0.0,1.0,1.0,1,0.9812096686347187
9238,3.8408601933967836,0.0,0.15913980660321636,2.601107098126987,4.0,0.0,1.0,1.0,1.0,0.0,1,0.998945147679325
3515,6.0,0.0,0.0,2.554431860990937,0.0,0.0,1.0,0.0,1.0,1.0,1,0.8815024190487649
6119,4.0,2.0,0.0,2.5637191659191334,4.0,0.0,1.0,0.0,0.0,3.0,0,0.36344211752028116
7180,5.0,0.0,1.0,2.5480055772903705,8.451426749439795,0.0,2.451426749439795,1.0,0.0,2.0,1,0.9120038328316145
2765,2.0,1.0,1.0,2.288176324422878,1.0,2.0,2.0,1.0,1.0,0.0,0,0.015707481688494347
4875,3.0,0.0,1.0,2.5637191659191334,3.0,2.0,1.0,0.0,1.0,1.0,1,0.8901122846775446
2844,5.0,0.0,1.0,2.444897673102868,10.0,2.0,2.0,1.0,1.0,0.0,0,0.0359042735708292
9755,3.0,2.0,1.0,2.4926054851959942,7.208373179536991,2.0,1.0,0.0,1.0,1.0,1,0.7119276943020408
9980,5.0,0.0,0.0,2.479350615053504,6.0,0.0,1.0269223755733279,0.0,1.0,1.0,1,0.9710278348514622
7763,4.6830192158545225,1.0,0.6830192158545229,2.4968198561821873,10.0,4.0,2.683019215854523,1.0,1.0,0.0,1,0.9355121103352675
10496,3.0,0.8907128913338545,1.0,2.6565409475012824,1.8907128913338545,3.1092871086661455,1.0,0.0,0.0,3.0,1,0.9917655036698223
4072,5.0,1.0,1.0,2.4574871831877636,4.0,2.0,2.0,0.0,1.0,1.0,0,0.00909862816508386
7364,4.142193512848904,1.1421935128489034,0.0,2.5611018648910924,0.0,2.0,2.0,0.0,0.0,3.0,1,0.6398037237796238
7754,4.29130212824436,0.0,1.0,2.5888032338634868,0.7086978717556404,0.0,2.0,0.0,0.0,3.0,1,0.7456829506563509
6053,5.0,1.0,0.0,2.444897673102868,0.0,2.0,1.0,1.0,0.0,2.0,0,0.14736078968270294
3516,4.0,1.0,1.0,2.481426676229533,3.0,2.0,2.0,0.0,1.0,1.0,0,0.005306139008670655
4822,4.0,2.0,1.0,2.444897673102868,5.0,0.0,2.0,1.0,0.0,2.0,0,0.045367043364946714
4568,5.0,2.0,0.0,2.4574871831877636,3.0,2.0,2.0,1.0,1.0,0.0,0,0.019568749387105778
3985,3.0,0.0,1.0,2.4574871831877636,3.0,4.0,2.0,1.0,1.0,0.0,0,0.05731265249601063
2140,3.0,0.0,0.0,2.481426676229533,1.0,4.0,1.0,0.0,0.0,3.0,0,0.3268942161383964
9502,4.0,0.7784069213105823,0.7784069213105823,2.466958853833688,9.0,2.0,1.0,0.0,0.0,3.0,1,0.9966847498493069
7962,4.002749901514562,1.5013749507572813,0.0,2.670636293607676,0.0,0.0,3.501374950757281,0.0,1.0,1.0,1,0.9603260136487987
2858,3.0,1.0,1.0,2.5985366483993895,3.0,0.0,1.0,0.0,0.0,3.0,1,0.8082860327873455
10070,3.0,0.0,1.0,2.5424832515445748,4.0,0.0,1.0,1.0,1.0,0.0,1,0.7431037352528308
1113,5.0,1.0,1.0,2.374572871755165,10.0,2.0,2.0,1.0,0.0,2.0,0,0.0040492146225578835
400,5.0,0.0,0.0,2.554431860990937,6.0,2.0,2.0,0.0,1.0,1.0,0,0.24742928980922296
6511,5.0,2.0,1.0,2.202163620820217,1.0,0.0,1.0,1.0,1.0,0.0,0,0.1073932958416832
1490,4.0,1.0,1.0,2.444897673102868,4.0,2.0,2.0,1.0,1.0,0.0,0,0.011359681003202969
6538,3.0,2.0,0.0,2.5985366483993895,6.0,2.0,1.0,1.0,0.0,2.0,1,0.611408794240338
5878,4.0,1.0,1.0,2.672424040037831,1.0,2.0,2.0,1.0,0.0,2.0,0,0.10302362576483748
770,3.0,2.0,1.0,2.404313823748339,5.0,2.0,2.0,1.0,1.0,0.0,0,0.0016381236038719286
10350,3.816407800167041,0.8164078001670412,0.0,2.6032412723137424,3.0,0.0,3.0,0.0,1.0,1.0,1,0.9980525803310613
6207,5.0,1.0,1.0,2.342296594692339,9.0,0.0,1.0,1.0,1.0,0.0,0,0.06473001640537009
258,5.0,1.0,0.0,2.672424040037831,9.0,2.0,1.0,0.0,1.0,1.0,1,0.9756794480975912
5513,5.0,2.0,1.0,2.3587758197041415,2.0,2.0,2.0,1.0,1.0,0.0,0,0.004742255388883127
6823,4.0,1.0,0.0,2.374572871755165,0.0,2.0,1.0,0.0,1.0,1.0,0,0.19162670779176233
2518,5.0,1.0,1.0,2.469655202750048,8.0,2.0,2.0,1.0,1.0,0.0,0,0.002701724491364731
10936,5.0,0.26402411675623416,0.0,2.559679685905114,0.0,0.7359758832437658,2.264024116756234,0.0,1.0,1.0,1,0.9791326182624142
1590,5.0,2.0,1.0,2.5815725377636167,5.0,3.0,2.0,0.0,0.0,3.0,1,0.7230992572436511
2612,3.0,1.0,0.0,2.590160680985161,10.0,2.0,1.0,0.0,1.0,1.0,1,0.8098219628385792
8135,5.129124123983345,0.870875876016655,0.0,2.5407804656402933,0.0,0.0,1.0,1.0,1.0,0.0,1,0.8814299770968366
9632,3.7590133266743484,2.0,0.0,2.5566699777097437,8.0,2.0,1.0,0.0,1.0,1.0,1,0.9832793375779424
10472,1.0759499354586564,1.0,0.07594993545865636,2.638476014705702,3.0759499354586564,2.0,1.0759499354586564,0.0,0.0,3.0,1,0.9877650830182475
10563,4.211796393597275,0.0,1.0,2.555200059716099,1.0,3.2117963935972753,1.0,0.0,0.0,3.0,1,0.9159441405578783
4952,4.0,1.0,0.0,2.444897673102868,8.0,4.0,1.0,0.0,1.0,1.0,0,0.20743014793182327
6773,3.0,0.0,1.0,2.4574871831877636,9.0,2.0,2.0,1.0,1.0,0.0,0,0.036530250773206444
4069,5.0,2.0,1.0,2.5637191659191334,0.0,3.0,1.0,1.0,1.0,0.0,0,0.19239910401841442
7652,5.0214108691908415,0.021410869190841786,0.9785891308091582,2.65433192651094,1.0,4.0,4.0,0.0,1.0,1.0,1,0.9943741209563994
532,4.0,1.0,1.0,2.554431860990937,1.0,3.0,2.0,0.0,1.0,1.0,1,0.43842552546798746
6413,3.0,0.0,0.0,2.5350746984524526,3.0,4.0,1.0,1.0,1.0,0.0,0,0.5297397423132227
81,5.0,0.0,1.0,2.5350746984524526,2.0,0.0,2.0,1.0,1.0,0.0,0,0.2650473132318078
5075,2.0,1.0,0.0,2.492824463854442,1.0,2.0,2.0,0.0,0.0,3.0,0,0.14576722646220427
10136,3.803702280661396,1.0,0.0,2.4687735302041,0.0,4.0,1.0,0.0,1.0,1.0,1,0.6818251746141973
10623,3.0,0.5586520691504959,0.0,2.5502197378374274,6.0,1.558652069150496,1.0,1.0,0.0,2.0,1,0.9927761822028389
6356,5.0,1.0,1.0,2.554431860990937,0.0,2.0,1.0,1.0,1.0,0.0,0,0.2698713492640092
9396,4.0,0.0,0.0,2.602577645136652,4.0,4.0,1.0,0.0,0.0,3.0,1,0.9768387769291577
9614,4.0,0.0,0.0,2.5547099290896917,8.732261517293491,0.0,1.0,0.0,1.0,1.0,1,0.9794998436658897
4075,4.0,1.0,0.0,2.514581307060663,4.0,2.0,2.0,1.0,1.0,0.0,0,0.07033783277277594
817,2.0,2.0,1.0,2.4574871831877636,8.0,2.0,2.0,0.0,1.0,1.0,0,0.113751374887674
57,5.0,1.0,1.0,2.444897673102868,4.0,4.0,1.0,0.0,0.0,3.0,0,0.059834137501231975
9191,3.0641355324707122,0.0,1.0,2.4928099334911398,6.0,4.0,1.0,0.0,1.0,1.0,1,0.9059910566087819
10280,4.0,1.0,1.0,2.630187526255103,8.0,2.2684448664845878,1.0,0.0,0.0,3.0,1,0.983384441011954
9803,4.0,1.0,0.0,2.5619959996518116,0.060157036234872896,2.0,1.0,0.0,1.0,1.0,1,0.9127536737461003
7190,5.0,0.0,1.0,2.4275226064490414,9.358321095460012,0.0,1.0,0.0,0.0,3.0,1,0.789128241061756
4517,2.0,1.0,0.0,2.4183424053220275,1.0,3.0,1.0,0.0,0.0,3.0,1,0.3096628097807193
8469,4.0,0.4145948298940202,0.0,2.3034762915813785,8.0,4.0,1.0,1.0,1.0,0.0,1,0.925334417931265
4569,5.0,1.0,1.0,2.503869564022474,5.0,2.0,2.0,0.0,0.0,3.0,0,0.03351634235750706
2924,4.0,1.0,1.0,2.5350746984524526,9.0,2.0,2.0,0.0,1.0,1.0,0,0.03414604094224543
8588,4.0,1.0,0.0,2.4024491849905703,1.2931807933579744,2.0,2.2931807933579744,1.0,0.0,2.0,1,0.9018202846954266
5978,4.0,1.0,0.0,2.4574871831877636,8.0,4.0,2.0,1.0,1.0,0.0,0,0.09283785328725955
646,4.0,1.0,0.0,2.572762252517431,4.0,2.0,2.0,1.0,1.0,0.0,0,0.060691058863845605
5277,4.0,0.0,0.0,2.5350746984524526,2.0,0.0,1.0,0.0,0.0,3.0,1,0.8684805598946175
4237,5.0,1.0,1.0,2.307063035651694,4.0,2.0,2.0,1.0,1.0,0.0,1,0.13024766567815868
9060,5.961283754375163,0.0,0.0,2.558614050355942,7.038716245624837,2.0,1.0,1.0,0.0,2.0,1,0.8908415339956081
5337,5.0,1.0,1.0,2.404313823748339,0.0,2.0,1.0,0.0,1.0,1.0,0,0.06172037100707203
1043,5.0,2.0,0.0,2.5637191659191334,10.0,4.0,1.0,1.0,1.0,0.0,0,0.1536935232559718
833,4.0,1.0,0.0,2.307063035651694,8.0,0.0,1.0,1.0,1.0,0.0,0,0.12054747602029804
5476,3.0,1.0,0.0,2.6978588685752265,3.0,2.0,1.0,1.0,1.0,0.0,0,0.15287075380150578
2359,4.0,1.0,1.0,2.444897673102868,4.0,0.0,2.0,0.0,1.0,1.0,0,0.0845799261710713
5091,2.0,1.0,0.0,2.6067097709889424,8.0,0.0,1.0,0.0,0.0,3.0,1,0.8544650455856709
3574,6.0,1.0,0.0,2.481426676229533,1.0,2.0,2.0,1.0,1.0,0.0,0,0.1551953944793927
5477,3.0,2.0,1.0,2.374572871755165,1.0,2.0,2.0,1.0,1.0,0.0,0,0.006386493253581861
1289,5.0,2.0,1.0,2.514581307060663,0.0,2.0,1.0,1.0,0.0,2.0,0,0.2141100021637996
8080,3.0,1.1496965610162437,0.0,2.6027708398279765,0.0,2.0,1.0,0.0,1.0,1.0,1,0.9222697097929784
2812,6.0,2.0,1.0,2.374572871755165,1.0,2.0,2.0,1.0,0.0,2.0,0,0.020032478347768154
3379,4.0,1.0,1.0,2.524977524647276,9.0,2.0,2.0,0.0,1.0,1.0,0,0.03971447475312546
751,4.0,1.0,1.0,2.503869564022474,9.0,2.0,2.0,1.0,1.0,0.0,0,0.013125423224082939
2425,5.0,1.0,0.0,2.5350746984524526,7.0,2.0,1.0,1.0,0.0,2.0,0,0.3598323366095832
1519,3.0,2.0,1.0,2.342296594692339,5.0,2.0,2.0,0.0,0.0,3.0,0,0.003653624856156502
6553,1.0,0.0,1.0,2.492824463854442,7.0,0.0,2.0,0.0,0.0,3.0,1,0.4670486954381025
2295,5.0,0.0,1.0,2.5350746984524526,6.0,4.0,2.0,1.0,0.0,2.0,0,0.12483071191534517
3502,4.0,0.0,0.0,2.685392895784163,8.0,4.0,1.0,0.0,1.0,1.0,1,0.968829346561647
729,4.0,2.0,1.0,2.685392895784163,10.0,2.0,1.0,0.0,1.0,1.0,1,0.8293814200391189
4556,5.0,0.0,1.0,2.202163620820217,8.0,1.0,1.0,1.0,1.0,0.0,0,0.05248775317552995
6970,6.0,1.0,1.0,2.389737358340596,0.0,1.0,2.0,0.0,1.0,1.0,0,0.026161671331068205
8856,3.0,0.45368145472965304,1.0,2.62310653348975,6.0,2.0,1.0,0.0,0.0,3.0,1,0.9876783202732571
5327,4.0,0.0,1.0,2.444897673102868,8.0,1.0,2.0,1.0,1.0,0.0,0,0.014547322813870606
49,5.0,1.0,1.0,2.6224819363729917,9.0,2.0,2.0,1.0,0.0,2.0,0,0.11386464260528609
5571,3.0,0.0,0.0,2.481426676229533,4.0,2.0,1.0,1.0,1.0,0.0,0,0.46123513555645557
942,4.0,1.0,0.0,2.444897673102868,8.0,2.0,1.0,0.0,1.0,1.0,0,0.5465868453930652
6573,5.0,1.0,1.0,2.5985366483993895,8.0,3.0,2.0,1.0,1.0,0.0,0,0.08208205084748173
6578,4.0,0.0,0.0,2.481426676229533,8.0,2.0,2.0,1.0,1.0,0.0,0,0.24169861057328237
4248,4.0,2.0,0.0,2.4183424053220275,8.0,0.0,1.0,1.0,0.0,2.0,0,0.11731670486789618
573,4.0,1.0,0.0,2.469655202750048,10.0,2.0,2.0,1.0,1.0,0.0,0,0.030709828043223426
4146,3.0,1.0,1.0,2.444897673102868,5.0,2.0,2.0,1.0,0.0,2.0,0,0.011474225286585671
7425,3.5979483903718767,1.0,0.597948390371877,2.522820708056471,9.0,2.0,3.0,0.0,0.0,3.0,1,0.9984930681133213
11000,2.1146382929064944,1.0,0.0,2.5647939141756835,6.885361707093505,4.0,1.0,0.0,1.0,1.0,1,0.8755448231885508
575,4.0,0.0,1.0,2.4574871831877636,0.0,1.0,1.0,0.0,0.0,3.0,0,0.3565880410995283
10608,5.028220800724443,1.028220800724443,0.0,2.5097192945250484,10.0,3.0,3.0,0.0,1.0,1.0,1,0.9705120847026243
6645,4.0,1.0,0.0,2.3587758197041415,0.0,2.0,2.0,0.0,0.0,3.0,0,0.008293148483021899
2750,4.0,0.0,1.0,2.503869564022474,10.0,2.0,1.0,1.0,0.0,2.0,1,0.6066082988926091
7217,3.0,0.0,0.3741915685405519,2.632882414049895,9.374191568540551,0.0,1.0,0.0,1.0,1.0,1,0.9983703884020341
8978,5.047103517577313,1.9528964824226864,1.0,2.64548481126821,8.952896482422686,1.9528964824226864,1.0,0.0,0.0,3.0,1,0.9868036148099438
6804,4.0,2.0,0.0,2.444897673102868,4.0,4.0,1.0,0.0,1.0,1.0,0,0.14606646959024783
1515,4.0,2.0,0.0,2.5637191659191334,8.0,2.0,2.0,0.0,1.0,1.0,0,0.18811116518870166
3182,3.0,0.0,0.0,2.6224819363729917,4.0,4.0,2.0,1.0,1.0,0.0,0,0.3668263872600687
3056,4.0,0.0,0.0,2.3250797444737543,10.0,2.0,1.0,1.0,1.0,0.0,0,0.15556326932811232
8479,4.0,1.0,1.0,2.65208417035418,3.0792789465769372,2.0,1.0,1.0,0.0,2.0,1,0.8232511000760555
4066,5.0,2.0,0.0,2.1512396018063,0.0,2.0,1.0,0.0,1.0,1.0,0,0.1719121897665592
6510,5.0,1.0,0.0,2.469655202750048,6.0,0.0,2.0,0.0,0.0,3.0,0,0.14184910450267854
9831,4.0,0.0,1.0,2.4889348917016356,2.3345476545342034,0.0,1.0,0.0,1.0,1.0,1,0.9482890037814206
2839,4.0,1.0,1.0,2.4183424053220275,10.0,4.0,1.0,1.0,1.0,0.0,0,0.10867369736897894
8594,1.0,2.0,1.0,2.5236414354188583,6.616740873912819,1.6167408739128184,1.0,1.0,1.0,0.0,1,0.8849708771411544
3272,4.0,2.0,1.0,2.307063035651694,8.0,4.0,1.0,1.0,1.0,0.0,0,0.026291019384790202
1072,5.0,2.0,0.0,2.5350746984524526,2.0,2.0,2.0,1.0,1.0,0.0,0,0.17017635174078402
1414,4.0,2.0,0.0,2.514581307060663,6.0,2.0,1.0,1.0,0.0,2.0,0,0.3107432927692462
